Acceptance Criteria,Acceptance Criteria
Acceptance Criteria are required,Acceptance Criteria are required
Acknowledgement Date,Acknowledgement تاريخ
Acknowledgement Notes,Acknowledgement Notes
Acknowledgement Required,Acknowledgement Required
Acknowledgement Status,Acknowledgement حالة
Action,إجراء
Action Description,إجراء وصف
Action Owner,إجراء Owner
Action Type,إجراء نوع
Active,نشط
Active encryption key {0} not found,نشط encryption مفتاح { 0 } not found
Actual Arrival,Actual Arrival
Actual Completion Date,Actual Completion تاريخ
Actual Condition,Actual Condition
Actual Datetime,Actual Datetime
Actual Delivery Date/Time,Actual Delivery تاريخ Time
Actual Distance (KM),Actual Distance (KM)
Actual End Date,Actual نهاية تاريخ
Actual Hours,Actual Hours
Actual KM,Actual KM
Actual Landing Cost,Actual Landing تكلفة
Actual Result,Actual Result
Actual Start Date,Actual بداية تاريخ
Actual Start Date cannot be after Actual End Date,Actual بداية تاريخ cannot be after Actual نهاية تاريخ
Actual Value,Actual Value
actual_qty,actual qty
Additional Info,Additional Info
Advising Bank,Advising بنك
Affected Customers,Affected Customers
Affected Departments,Affected Departments
Affected Processes,Affected Processes
Affected Products,Affected Products
Alert Sent,Alert Sent
Alert Time,Alert Time
Algorithm,Algorithm
Algorithm {0} not supported,Algorithm { 0 } not supported
Allocate to Items,Allocate إلى Items
Allowed Actions,Allowed إجراءات
Allowed DocTypes,Allowed Doc Types
Alternative Drug Code,Alternative Drug كود
Alternative Drug Name,Alternative Drug اسم
Amount,مبلغ
An active signature already exists for this document,An نشط signature already exists لـ this مستند
Analysis,Analysis
Analysis Method,Analysis Method
Apply On,Apply On
Apply to All Companies,Apply إلى All Companies
Approval,موافقة
Approval Conditions,موافقة Conditions
Approval Date,موافقة تاريخ
Approval Number,موافقة رقم
Approval Number {0} already exists,موافقة رقم { 0 } already exists
Approval Status,موافقة حالة
Approvals,موافقات
Approved By,معتمد حسب
Approved By and Approved Date are required,معتمد حسب و معتمد تاريخ are required
Approved By and Approved Date are required for approved SOPs,معتمد حسب و معتمد تاريخ are required لـ معتمد SOPs
Approved Date,معتمد تاريخ
Area,Area
Assessment,Assessment
Assessment Date,Assessment تاريخ
Assessment Findings,Assessment Findings
Assessment Method,Assessment Method
Assessment Question,Assessment Question
Assessment Questions,Assessment Questions
Assessment Result,Assessment Result
Assessment Results,Assessment Results
Assessment Score,Assessment درجة
Assessment Score is required for this qualification status,Assessment درجة is required لـ this qualification حالة
Assessment Score must be at least 70% for qualification,Assessment درجة must be at least 70% لـ qualification
Assessment Status,Assessment حالة
Assessment Team,Assessment Team
Asset Owner,Asset Owner
Assigned Vehicle,Assigned مركبة
At least one commission tier is required.,At least one commission tier is required.
At least one participant is required,At least one participant is required
ATC Code,ATC كود
Attachment,Attachment
Attachments,Attachments
Attendance Date,Attendance تاريخ
Attendance Status,Attendance حالة
Audit Findings,تدقيق Findings
Audit Log,تدقيق سجل
Audit Trail,تدقيق Trail
Authentication,Authentication
Authentication Details,Authentication تفاصيل
Authentication Method,Authentication Method
Authentication Timestamp,Authentication Timestamp
Authentication Token,Authentication Token
available_qty,متاح qty
avg_temp,متوسط temp
Backdated training is not allowed,Backdated training is not allowed
Bank Information,بنك Information
Barcode,Barcode
Basic Information,Basic Information
Batch Affected,Batch Affected
Batch Details,Batch تفاصيل
Batch Expiry,Batch Expiry
Batch No,Batch No
Batch Number,Batch رقم
Batch Number is required,Batch رقم is required
Batch Number {0} already exists,Batch رقم { 0 } already exists
Batch Serial Number,Batch Serial رقم
Batch Size,Batch Size
Batch Tracking,Batch Tracking
Batch tracking enabled for Item {0},Batch tracking enabled لـ صنف { 0 }
Batch Validation,Batch تحقق
Batch {0} (Item: {1}) expires on {2},Batch { 0 } (صنف: { 1 }) expires on { 2 }
Batch {0} has expired on {1},Batch { 0 } has expired on { 1 }
Batch {0} is a controlled substance and license has expired,Batch { 0 } is a controlled substance و license has expired
Batch {0} is already approved,Batch { 0 } is already معتمد
Batch {0} is already quarantined,Batch { 0 } is already quarantined
